Timestamp;tempGasB2;tempAmb;tempGas;umidGasB2;TempSoloB2;umidGas;falhaSensor;tempSubst;umidAmb;falhaSensorB2;VolumeTotalB2;decDeBiogasB2;decDeBiogas;volumeTotal;tempSubstB2;tempSolo
28-12-21 04:28:24;998.00;15.10;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.70;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 02:13:24;998.00;16.20;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;98.60;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 18:35:24;998.00;17.80;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.56;89.90;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 19:20:25;998.00;17.50;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.69;92.50;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 19:35:25;998.00;17.00;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.69;93.00;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 22:50:26;998.00;16.80;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.88;99.30;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 12:50:24;998.00;30.40;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;57.50;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 18:50:25;998.00;17.80;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.62;90.90;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 07:43:23;998.00;18.30;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;95.00;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 15:35:25;998.00;24.10;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;76.60;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 02:28:25;998.00;16.10;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;98.80;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 06:28:22;998.00;15.50;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;98.20;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 00:58:22;998.00;16.70;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;97.60;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 08:13:24;998.00;20.80;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;89.90;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 23:50:26;998.00;17.00;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.94;99.50;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 03:58:22;998.00;15.50;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.90;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 18:05:25;998.00;18.00;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.56;90.30;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 02:58:23;998.00;15.80;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.40;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 14:35:25;998.00;22.80;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;81.90;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 11:50:24;998.00;30.20;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;56.60;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 07:28:24;998.00;17.80;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;96.40;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 17:50:25;998.00;18.00;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.50;89.90;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 16:50:25;998.00;22.00;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.50;92.70;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 08:43:24;998.00;22.40;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;85.70;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 21:50:24;998.00;17.00;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.81;98.50;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 06:13:24;998.00;15.10;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.10;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 06:58:25;998.00;16.70;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;97.30;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 12:05:24;998.00;31.40;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;55.40;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 21:20:27;998.00;17.10;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.81;98.20;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 12:20:23;998.00;32.10;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;53.90;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 05:58:24;998.00;15.00;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.10;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 16:05:24;998.00;20.20;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;91.40;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 08:28:23;998.00;21.40;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;88.50;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 02:43:24;998.00;15.90;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.20;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 15:50:25;998.00;22.80;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;81.50;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 20:20:24;998.00;17.10;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.81;94.50;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 10:13:24;998.00;26.30;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;69.60;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 19:50:26;998.00;17.00;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.75;92.40;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 22:35:26;998.00;16.90;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.88;99.40;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 10:28:23;998.00;27.40;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;68.20;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 05:28:23;998.00;14.70;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.50;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 00:43:22;998.00;16.70;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;97.50;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 09:13:23;998.00;23.30;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;82.90;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 09:58:25;998.00;25.20;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;72.90;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 03:13:23;998.00;15.70;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;99.40;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 03:28:25;998.00;15.70;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;99.80;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 07:13:25;998.00;17.30;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;97.00;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 23:20:27;998.00;16.40;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.88;99.40;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 14:50:24;998.00;27.20;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.44;66.40;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 21:35:27;998.00;17.20;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.81;98.80;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
28-12-21 09:43:24;998.00;25.60;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;73.50;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 06:43:25;998.00;16.20;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;97.50;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;23.00
28-12-21 01:43:24;998.00;16.20;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;22.38;98.80;SensoresB2OK;0.05;0.00;0.00;0.00;22.88;22.94
28-12-21 17:20:24;998.00;18.30;998.00;998.00;21.81;998.00; + FalhaSHT20Bio1  + FalhaSHT20Bio2;21.50;93.00;SensoresB2OK;0.06;0.00;0.00;0.00;22.88;23.00
